,Time,Session,Volume,Price Entry,B/S,Profit
80,2023-04-18 19:25:00-04:00,Asia Session,195,13174.75,Sell,-150
81,2023-04-18 20:10:00-04:00,Asia Session,383,13182.25,Buy,-165
82,2023-04-18 21:25:00-04:00,Asia Session,201,13174,Sell,65
83,2023-04-18 22:30:00-04:00,Overnight Session,171,13170.75,Buy,-85
84,2023-04-19 00:10:00-04:00,Overnight Session,150,13166.5,Sell,840
85,2023-04-19 03:10:00-04:00,Overnight Session,604,13124.5,Buy,-260
86,2023-04-19 04:15:00-04:00,Overnight Session,1034,13111.5,Sell,-140
87,2023-04-19 04:35:00-04:00,Overnight Session,510,13118.5,Buy,-285
88,2023-04-19 05:00:00-04:00,Overnight Session,1953,13104.25,Sell,450
89,2023-04-19 06:15:00-04:00,Overnight Session,417,13081.75,Buy,85
90,2023-04-19 08:05:00-04:00,Pre-Market,723,13086,Sell,-95
91,2023-04-19 08:25:00-04:00,Pre-Market,643,13090.75,Buy,-230
92,2023-04-19 08:30:00-04:00,Pre-Market,1004,13079.25,Sell,-205
93,2023-04-19 09:05:00-04:00,Pre-Market,1625,13089.5,Buy,2040
94,2023-04-19 12:55:00-04:00,RTH Lunch,2140,13191.5,Sell,890
95,2023-04-19 19:05:00-04:00,Asia Session,173,13147,Buy,-345
96,2023-04-19 19:30:00-04:00,Asia Session,1020,13129.75,Sell,-80
97,2023-04-19 20:00:00-04:00,Asia Session,491,13133.75,Buy,85
98,2023-04-19 22:25:00-04:00,Overnight Session,188,13138,Sell,80
99,2023-04-19 23:35:00-04:00,Overnight Session,81,13134,Buy,-55
100,2023-04-20 00:40:00-04:00,Overnight Session,206,13131.25,Sell,60
101,2023-04-20 02:10:00-04:00,Overnight Session,972,13128.25,Buy,-360
102,2023-04-20 03:10:00-04:00,Overnight Session,912,13110.25,Sell,1460
103,2023-04-20 05:15:00-04:00,Overnight Session,704,13037.25,Buy,290
104,2023-04-20 07:50:00-04:00,Overnight Session,788,13051.75,Sell,-140
105,2023-04-20 08:30:00-04:00,Pre-Market,3856,13058.75,Buy,-145
106,2023-04-20 09:25:00-04:00,Pre-Market,3028,13051.5,Sell,-695
107,2023-04-20 09:30:00-04:00,RTH Session,20562,13086.25,Buy,1005
108,2023-04-20 10:50:00-04:00,RTH Session,6388,13136.5,Sell,-175
109,2023-04-20 11:50:00-04:00,RTH Lunch,4173,13145.25,Buy,-440
